Id,Year,Kilometers_Driven,Mileage,Engine,Power,Seats,Price,Fuel_Type_CNG,Fuel_Type_Diesel,Fuel_Type_Electric,Fuel_Type_LPG,Fuel_Type_Petrol,Owner_Type_First,Owner_Type_Fourth & Above,Owner_Type_Second,Owner_Type_Third,Mileage_Type_km/kg,Mileage_Type_kmpl,Transmission_Automatic,Transmission_Manual
0,2010,72000,26.6,998.0,58.16,5.0,1.75,1,0,0,0,0,1,0,0,0,1,0,0,1
1,2015,41000,19.67,1582.0,126.2,5.0,12.5,0,1,0,0,0,1,0,0,0,0,1,0,1
2,2011,46000,18.2,1199.0,88.7,5.0,4.5,0,0,0,0,1,1,0,0,0,0,1,0,1
3,2012,87000,20.77,1248.0,88.76,7.0,6.0,0,1,0,0,0,1,0,0,0,0,1,0,1
4,2013,40670,15.2,1968.0,140.8,5.0,17.74,0,1,0,0,0,0,0,1,0,0,1,1,0
5,2012,75000,21.1,814.0,55.2,5.0,2.35,0,0,0,1,0,1,0,0,0,1,0,0,1
6,2013,86999,23.08,1461.0,63.1,5.0,3.5,0,1,0,0,0,1,0,0,0,0,1,0,1
7,2016,36000,11.36,2755.0,171.5,8.0,17.5,0,1,0,0,0,1,0,0,0,0,1,1,0
8,2013,64430,20.54,1598.0,103.6,5.0,5.2,0,1,0,0,0,1,0,0,0,0,1,0,1
9,2012,65932,22.3,1248.0,74.0,5.0,1.95,0,1,0,0,0,0,0,1,0,0,1,0,1
10,2018,25692,21.56,1462.0,103.25,5.0,9.95,0,0,0,0,1,1,0,0,0,0,1,0,1
11,2012,60000,16.8,1497.0,116.3,5.0,4.49,0,0,0,0,1,1,0,0,0,0,1,1,0
12,2015,64424,25.2,1248.0,74.0,5.0,5.6,0,1,0,0,0,1,0,0,0,0,1,0,1
13,2014,72000,12.7,2179.0,187.7,5.0,27.0,0,1,0,0,0,1,0,0,0,0,1,1,0
14,2012,85000,0.0,2179.0,115.0,5.0,17.5,0,1,0,0,0,0,0,1,0,0,1,1,0
15,2014,110000,13.5,2477.0,175.56,7.0,15.0,0,1,0,0,0,1,0,0,0,0,1,0,1
16,2016,58950,25.8,1498.0,98.6,5.0,5.4,0,1,0,0,0,1,0,0,0,0,1,0,1
17,2017,25000,28.4,1248.0,74.0,5.0,5.99,0,1,0,0,0,1,0,0,0,0,1,0,1
18,2014,77469,20.45,1461.0,83.8,5.0,6.34,0,1,0,0,0,1,0,0,0,0,1,0,1
19,2014,78500,14.84,2143.0,167.62,5.0,28.0,0,1,0,0,0,1,0,0,0,0,1,1,0
20,2014,32982,22.69,1995.0,190.0,5.0,18.55,0,1,0,0,0,1,0,0,0,0,1,1,0
21,2015,55392,23.65,1248.0,88.5,5.0,8.25,0,1,0,0,0,0,0,1,0,0,1,0,1
22,2015,55985,13.53,1984.0,177.01,5.0,23.5,0,0,0,0,1,1,0,0,0,0,1,1,0
23,2010,45807,18.5,1197.0,80.0,5.0,1.87,0,0,0,0,1,1,0,0,0,0,1,0,1
24,2010,33000,14.4,1598.0,103.6,5.0,2.85,0,0,0,0,1,1,0,0,0,0,1,1,0
25,2012,51920,16.8,1497.0,116.3,5.0,4.25,0,0,0,0,1,1,0,0,0,0,1,0,1
26,2012,54000,23.08,1461.0,63.1,5.0,4.25,0,1,0,0,0,1,0,0,0,0,1,0,1
27,2013,54000,20.92,998.0,67.1,5.0,2.75,0,0,0,0,1,0,0,1,0,0,1,0,1
28,2018,37430,17.5,1199.0,88.7,5.0,9.9,0,0,0,0,1,1,0,0,0,0,1,0,1
29,2007,262000,12.8,2494.0,102.0,7.0,4.0,0,1,0,0,0,0,1,0,0,0,1,0,1
30,2013,62000,19.01,1461.0,108.45,5.0,7.75,0,1,0,0,0,1,0,0,0,0,1,0,1
31,2012,87615,14.53,1798.0,138.1,5.0,6.75,0,0,0,0,1,1,0,0,0,0,1,0,1
32,2013,72000,11.18,2696.0,184.0,7.0,12.5,0,1,0,0,0,0,0,1,0,0,1,1,0
33,2010,35000,12.4,2698.0,179.5,5.0,11.5,0,1,0,0,0,1,0,0,0,0,1,1,0
34,2014,55431,16.09,1598.0,103.5,5.0,6.98,0,0,0,0,1,0,0,1,0,0,1,0,1
35,2009,83816,14.0,1061.0,64.0,5.0,1.85,0,0,0,0,1,0,0,1,0,0,1,0,1
36,2018,50075,24.3,1248.0,88.5,5.0,8.63,0,1,0,0,0,1,0,0,0,0,1,0,1
37,2017,52000,18.15,1198.0,82.0,5.0,4.85,0,0,0,0,1,1,0,0,0,0,1,0,1
38,2013,85000,11.74,2987.0,254.8,5.0,28.0,0,1,0,0,0,1,0,0,0,0,1,1,0
39,2013,62000,22.07,1199.0,73.9,5.0,5.0,0,1,0,0,0,1,0,0,0,0,1,0,1
40,2008,90000,19.7,796.0,46.3,5.0,1.25,0,0,0,0,1,0,0,1,0,0,1,0,1
41,2014,19698,25.4,624.0,37.5,4.0,1.53,0,0,0,0,1,1,0,0,0,0,1,0,1
42,2017,22033,25.32,1198.0,77.0,6.0,5.58,0,1,0,0,0,1,0,0,0,0,1,0,1
43,2014,35487,18.5,1197.0,82.9,5.0,4.74,0,0,0,0,1,1,0,0,0,0,1,0,1
44,2014,46374,14.62,1999.0,149.92,5.0,8.85,0,0,0,0,1,1,0,0,0,0,1,1,0
45,2016,52001,14.28,1798.0,138.03,5.0,10.11,0,0,0,0,1,1,0,0,0,0,1,1,0
46,2008,58005,14.9,1991.0,112.2,5.0,4.25,0,1,0,0,0,0,0,1,0,0,1,0,1
47,2012,70704,11.25,2694.0,163.7,7.0,10.95,0,0,0,0,1,1,0,0,0,0,1,0,1
48,2014,75000,24.4,1120.0,71.0,5.0,3.85,0,1,0,0,0,1,0,0,0,0,1,0,1
49,2012,75800,16.55,2498.0,105.0,6.0,5.5,0,1,0,0,0,0,0,1,0,0,1,0,1
50,2015,13648,17.11,1968.0,174.33,5.0,21.43,0,1,0,0,0,1,0,0,0,0,1,1,0
51,2014,52000,22.9,1248.0,74.0,5.0,4.25,0,1,0,0,0,1,0,0,0,0,1,0,1
52,2014,53000,17.8,1248.0,75.0,5.0,3.3,0,1,0,0,0,1,0,0,0,0,1,0,1
